,reference,experiment,tuned,raw
0,-0.71,base,-0.92408705,-0.92408705
1,-4.07,base,-4.683449,-4.683449
2,-4.76,base,-4.7897286,-4.7897286
3,-0.58,base,-0.4192435,-0.4192435
4,-4.84,base,-4.6920943,-4.6920943
5,-4.59,base,-4.6530843,-4.6530843
6,-2.85,base,-2.5648053,-2.5648053
7,-4.76,base,-4.6899924,-4.6899924
8,-4.6,base,-4.743965,-4.743965
9,-4.76,base,-4.6594243,-4.6594243
10,-1.11,base,-0.80750144,-0.80750144
11,-4.84,base,-4.728261,-4.728261
12,-3.76,base,-4.7382464,-4.7382464
13,-4.84,base,-4.6759405,-4.6759405
14,-0.68,base,-0.8869145,-0.8869145
15,-3.83,base,-4.697054,-4.697054
16,-2.31,base,-2.7444067,-2.7444067
17,-1.7,base,-1.8637342,-1.8637342
18,-4.84,base,-4.6388993,-4.6388993
19,-4.8,base,-4.6531014,-4.6531014
20,-0.63,base,-0.39088202,-0.39088202
21,-4.76,base,-4.755223,-4.755223
22,-4.76,base,-4.6045647,-4.6045647
23,-4.76,base,-4.756755,-4.756755
24,-2.55,base,-2.9365273,-2.9365273
25,-3.53,base,-3.5448992,-3.5448992
26,-2.18,base,-1.5679742,-1.5679742
27,-0.55,base,-0.2933802,-0.2933802
28,-4.84,base,-4.6416616,-4.6416616
29,-4.84,base,-4.619317,-4.619317
30,-4.84,base,-4.6129937,-4.6129937
31,-2.17,base,-1.7246834,-1.7246834
32,-4.84,base,-4.68939,-4.68939
33,-0.02,base,-0.034217075,-0.034217075
34,-4.76,base,-4.7061467,-4.7061467
35,-4.44,base,-4.6343265,-4.6343265
36,-4.76,base,-4.6913004,-4.6913004
37,-0.88,base,-3.0589542,-3.0589542
38,-4.84,base,-4.627618,-4.627618
39,-0.94,base,-1.418673,-1.418673
40,-0.05,base,0.069450095,0.069450095
41,-0.56,base,-0.06859045,-0.06859045
42,-3.07,base,-2.2424269,-2.2424269
43,-4.76,base,-4.678281,-4.678281
44,-4.76,base,-4.673438,-4.673438
45,-2.26,base,-2.0077782,-2.0077782
46,-2.12,base,-1.6211903,-1.6211903
47,-2.09,base,-2.6425674,-2.6425674
48,-4.76,base,-4.6826944,-4.6826944
49,-0.49,base,-0.34664896,-0.34664896
50,-1.92,base,-1.2270352,-1.2270352
51,-4.84,base,-4.7100787,-4.7100787
52,0.02,base,0.030749619,0.030749619
53,-4.84,base,-4.649765,-4.649765
54,-4.84,base,-4.6567907,-4.6567907
55,-4.55,base,-4.69714,-4.69714
56,-4.76,base,-4.6520057,-4.6520057
57,-2.68,base,-2.7940967,-2.7940967
58,-4.76,base,-4.764451,-4.764451
59,-1.72,base,-1.5133462,-1.5133462
60,-4.76,base,-4.6121864,-4.6121864
61,-0.82,base,-0.60260975,-0.60260975
62,-4.76,base,-4.701604,-4.701604
63,-2.19,base,-2.921698,-2.921698
64,-1.27,base,-1.0112462,-1.0112462
65,-4.84,base,-4.7033443,-4.7033443
66,-0.39761904,base,-0.11421749,-0.11421749
67,-2.98,base,-3.3374467,-3.3374467
68,-2.36,base,-2.2070587,-2.2070587
69,-3.475,base,-4.419138,-4.419138
70,-4.76,base,-4.7187614,-4.7187614
71,-0.61,base,-0.33142674,-0.33142674
72,-0.13,base,-0.025785938,-0.025785938
73,-4.76,base,-4.648652,-4.648652
74,-4.84,base,-4.7038736,-4.7038736
75,-4.76,base,-4.6665792,-4.6665792
76,-1.07,base,-1.0086715,-1.0086715
77,-1.36,base,-1.1630532,-1.1630532
78,-4.84,base,-4.7024927,-4.7024927
79,-1.48,base,-1.7776948,-1.7776948
80,-1.13,base,-1.2155056,-1.2155056
81,-4.76,base,-4.6479483,-4.6479483
82,-2.58,base,-2.2218065,-2.2218065
83,-0.11,base,0.12761983,0.12761983
84,-2.16,base,-1.9216323,-1.9216323
85,-0.4,base,-0.19750918,-0.19750918
