,reference,experiment,tuned,raw
0,-0.71,base,-1.6628288,-1.6628288
1,-4.07,base,-2.6548226,-2.6548226
2,-4.76,base,-3.0900595,-3.0900595
3,-0.58,base,-1.3581461,-1.3581461
4,-4.84,base,-3.3893325,-3.3893325
5,-4.59,base,-3.4743438,-3.4743438
6,-2.85,base,-2.4851737,-2.4851737
7,-4.76,base,-5.061081,-5.061081
8,-4.6,base,-2.7075822,-2.7075822
9,-4.76,base,-5.3013644,-5.3013644
10,-1.11,base,-1.7367592,-1.7367592
11,-4.84,base,-3.215513,-3.215513
12,-3.76,base,-3.2465458,-3.2465458
13,-4.84,base,-3.593475,-3.593475
14,-0.68,base,-1.9485319,-1.9485319
15,-3.83,base,-5.7255306,-5.7255306
16,-2.31,base,-2.220093,-2.220093
17,-1.7,base,-2.3680933,-2.3680933
18,-4.84,base,-3.2316406,-3.2316406
19,-4.8,base,-3.0623605,-3.0623605
20,-0.63,base,-1.4244945,-1.4244945
21,-4.76,base,-3.2342215,-3.2342215
22,-4.76,base,-2.5626628,-2.5626628
23,-4.76,base,-3.5492084,-3.5492084
24,-2.55,base,-2.6589234,-2.6589234
25,-3.53,base,-2.2068236,-2.2068236
26,-2.18,base,-2.119896,-2.119896
27,-0.55,base,-0.09995423,-0.09995423
28,-4.84,base,-4.106358,-4.106358
29,-4.84,base,-3.566902,-3.566902
30,-4.84,base,-3.3507636,-3.3507636
31,-2.17,base,-2.057774,-2.057774
32,-4.84,base,-4.6507707,-4.6507707
33,-0.02,base,-0.5304431,-0.5304431
34,-4.76,base,-6.683023,-6.683023
35,-4.44,base,-5.505592,-5.505592
36,-4.76,base,-3.663251,-3.663251
37,-0.88,base,-1.7520702,-1.7520702
38,-4.84,base,-6.3591633,-6.3591633
39,-0.94,base,-1.4973264,-1.4973264
40,-0.05,base,-0.21339266,-0.21339266
41,-0.56,base,-0.8061543,-0.8061543
42,-3.07,base,-2.727187,-2.727187
43,-4.76,base,-4.2986283,-4.2986283
44,-4.76,base,-3.8850887,-3.8850887
45,-2.26,base,-2.227234,-2.227234
46,-2.12,base,-2.4809072,-2.4809072
47,-2.09,base,-2.1784267,-2.1784267
48,-4.76,base,-4.1754613,-4.1754613
49,-0.49,base,-1.0884815,-1.0884815
50,-1.92,base,-1.8255762,-1.8255762
51,-4.84,base,-3.7798865,-3.7798865
52,0.02,base,-0.89445746,-0.89445746
53,-4.84,base,-4.790818,-4.790818
54,-4.84,base,-2.6817513,-2.6817513
55,-4.55,base,-3.1260011,-3.1260011
56,-4.76,base,-4.0114617,-4.0114617
57,-2.68,base,-2.6745386,-2.6745386
58,-4.76,base,-4.0731797,-4.0731797
59,-1.72,base,-2.0642998,-2.0642998
60,-4.76,base,-4.706407,-4.706407
61,-0.82,base,-1.2691271,-1.2691271
62,-4.76,base,-2.9632032,-2.9632032
63,-2.19,base,-2.4696014,-2.4696014
64,-1.27,base,-1.7016836,-1.7016836
65,-4.84,base,-4.770205,-4.770205
66,-0.39761904,base,-1.2876755,-1.2876755
67,-2.98,base,-2.3292792,-2.3292792
68,-2.36,base,-2.3037078,-2.3037078
69,-3.475,base,-2.6706119,-2.6706119
70,-4.76,base,-3.1850607,-3.1850607
71,-0.61,base,-1.0428758,-1.0428758
72,-0.13,base,-0.8586374,-0.8586374
73,-4.76,base,-4.3779044,-4.3779044
74,-4.84,base,-4.031299,-4.031299
75,-4.76,base,-9.267681,-9.267681
76,-1.07,base,-1.8343493,-1.8343493
77,-1.36,base,-2.3507624,-2.3507624
78,-4.84,base,-3.8147674,-3.8147674
79,-1.48,base,-1.8258692,-1.8258692
80,-1.13,base,-0.71260846,-0.71260846
81,-4.76,base,-6.209042,-6.209042
82,-2.58,base,-2.3756218,-2.3756218
83,-0.11,base,-0.11147599,-0.11147599
84,-2.16,base,-2.231427,-2.231427
85,-0.4,base,-1.0968305,-1.0968305
86,-1.3,base,-1.6920893,-1.6920893
87,-1.51,base,-1.3482652,-1.3482652
88,-4.84,base,-6.152444,-6.152444
89,-4.84,base,-6.405827,-6.405827
90,-4.84,base,-4.177675,-4.177675
91,-4.76,base,-3.1469686,-3.1469686
92,-3.7,base,-3.0189743,-3.0189743
93,-2.61,base,-2.2938988,-2.2938988
94,-4.84,base,-3.122965,-3.122965
95,-0.595,base,-1.0374349,-1.0374349
96,-1.97,base,-2.3572233,-2.3572233
97,-2.3,base,-1.9679254,-1.9679254
98,-2.1,base,-2.1947658,-2.1947658
99,-0.97,base,-2.1017325,-2.1017325
100,-4.11,base,-6.437691,-6.437691
101,-1.91,base,-2.2237096,-2.2237096
102,-2.46,base,-2.905142,-2.905142
103,-0.74,base,-1.793212,-1.793212
104,-4.84,base,-5.6135764,-5.6135764
105,-4.76,base,-3.431216,-3.431216
106,-4.84,base,-5.1432796,-5.1432796
107,-4.76,base,-4.7555394,-4.7555394
108,-3.67,base,-2.8479316,-2.8479316
109,-0.06,base,-0.9744878,-0.9744878
110,-2.3,base,-2.7076488,-2.7076488
111,-4.59,base,-4.639198,-4.639198
112,-0.07,base,-0.917042,-0.917042
113,-3.67,base,-2.1235368,-2.1235368
114,-4.82,base,-4.423367,-4.423367
115,-4.76,base,-2.8372443,-2.8372443
116,-0.01,base,-0.4668579,-0.4668579
117,-1.62,base,-1.6830114,-1.6830114
118,-1.34,base,-2.1333234,-2.1333234
119,-4.76,base,-5.032005,-5.032005
120,-4.76,base,-3.403042,-3.403042
121,-1.23,base,-2.1939802,-2.1939802
122,0.235,base,-0.3772323,-0.3772323
123,-0.69,base,-1.5739568,-1.5739568
124,-4.84,base,-3.585668,-3.585668
125,0.02,base,-0.9705691,-0.9705691
126,-4.84,base,-5.9407973,-5.9407973
127,-0.57,base,-1.5209907,-1.5209907
128,-2.85,base,-2.6203995,-2.6203995
129,-4.76,base,-4.616702,-4.616702
130,-0.36,base,-0.24795507,-0.24795507
131,-3.67,base,-2.9848137,-2.9848137
132,-4.76,base,-3.1376283,-3.1376283
133,-0.35,base,-1.7218524,-1.7218524
134,-0.68,base,-1.2025758,-1.2025758
135,-4.76,base,-3.0836651,-3.0836651
136,-4.76,base,-7.083055,-7.083055
137,-4.76,base,-4.1966853,-4.1966853
138,-0.52,base,-1.1142511,-1.1142511
139,-4.84,base,-9.020248,-9.020248
140,-4.78,base,-4.4047294,-4.4047294
141,-2.04,base,-1.9331564,-1.9331564
142,-4.84,base,-5.801368,-5.801368
143,-4.570833,base,-2.6789129,-2.6789129
144,-0.7,base,-1.6505375,-1.6505375
145,-4.84,base,-4.9800973,-4.9800973
146,-4.76,base,-3.675493,-3.675493
147,-4.47,base,-3.0135386,-3.0135386
148,-2.29,base,-1.5337446,-1.5337446
149,-0.11,base,-0.6611484,-0.6611484
150,-4.84,base,-5.100921,-5.100921
151,-0.67,base,-1.6594508,-1.6594508
152,-4.825,base,-2.9190238,-2.9190238
153,-4.84,base,-4.385324,-4.385324
154,-2.47,base,-2.2805316,-2.2805316
155,-0.345,base,-1.5376648,-1.5376648
156,-4.76,base,-4.8992596,-4.8992596
157,-0.67,base,-1.4405149,-1.4405149
158,-1.39,base,-2.1334083,-2.1334083
159,-2.58,base,-2.2083008,-2.2083008
160,-0.1,base,-0.9525541,-0.9525541
161,-4.5,base,-2.5215142,-2.5215142
162,-2.69,base,-2.961165,-2.961165
163,-4.84,base,-5.0376873,-5.0376873
164,-0.11,base,-2.607007,-2.607007
165,-2.32,base,-8.286479,-8.286479
166,-3.58,base,-3.0184286,-3.0184286
167,-4.76,base,-4.004514,-4.004514
168,-0.15,base,-0.83870685,-0.83870685
169,-4.76,base,-3.6283374,-3.6283374
170,-1.59,base,-0.915118,-0.915118
171,-0.99,base,-1.0699115,-1.0699115
172,-3.05,base,-2.6958528,-2.6958528
173,-4.76,base,-2.7477505,-2.7477505
174,-0.05,base,-0.49708468,-0.49708468
175,-1.62,base,-1.6405021,-1.6405021
176,-4.84,base,-2.9818091,-2.9818091
177,-4.76,base,-4.8293624,-4.8293624
178,-4.84,base,-3.5570452,-3.5570452
179,-4.84,base,-2.6584783,-2.6584783
180,-2.65,base,-2.2205672,-2.2205672
181,-1.07,base,-2.2660997,-2.2660997
182,-0.31,base,-1.0454658,-1.0454658
183,-3.74,base,-2.1818945,-2.1818945
184,-0.47,base,-1.6016895,-1.6016895
185,-4.76,base,-2.5776544,-2.5776544
186,-0.3,base,-1.0735302,-1.0735302
187,-4.84,base,-4.7338758,-4.7338758
188,-4.71,base,-3.8545964,-3.8545964
189,-4.84,base,-3.741297,-3.741297
190,-1.56,base,-1.6600777,-1.6600777
191,-3.24,base,-2.4232519,-2.4232519
192,-4.84,base,-8.007211,-8.007211
193,-2.97,base,-3.1420538,-3.1420538
194,0.17,base,-0.66087735,-0.66087735
195,-1.37,base,-1.8745852,-1.8745852
196,-0.64,base,-1.5299886,-1.5299886
197,-4.84,base,-4.09327,-4.09327
198,-2.54,base,-2.515248,-2.515248
199,-3.76,base,-2.0807486,-2.0807486
200,-4.84,base,-3.2028322,-3.2028322
201,-4.84,base,-3.0561905,-3.0561905
202,-0.2,base,0.02579017,0.02579017
203,-2.68,base,-2.7964466,-2.7964466
204,-0.265,base,-1.3628289,-1.3628289
205,-2.01,base,-1.7983906,-1.7983906
206,-0.67,base,-1.4064373,-1.4064373
207,-0.49,base,-1.4913425,-1.4913425
208,-4.84,base,-2.4705396,-2.4705396
209,-0.12744445,base,-1.0681742,-1.0681742
210,-4.76,base,-4.3899465,-4.3899465
211,-0.33,base,-1.3669366,-1.3669366
212,-3.8,base,-3.9417388,-3.9417388
213,-1.22,base,-1.5329142,-1.5329142
214,-4.76,base,-3.4327395,-3.4327395
215,-0.039722223,base,-0.70215666,-0.70215666
216,-4.84,base,-4.682635,-4.682635
217,-2.1,base,-2.125691,-2.125691
218,-2.82,base,-3.3967993,-3.3967993
219,-0.75,base,-1.6968175,-1.6968175
220,-4.84,base,-2.3912973,-2.3912973
221,-0.010833333,base,-0.95089674,-0.95089674
222,-4.76,base,-6.199715,-6.199715
223,-4.84,base,-2.939555,-2.939555
224,-2.36,base,-2.1341212,-2.1341212
225,-4.84,base,-4.278534,-4.278534
226,0.0325,base,-0.6049618,-0.6049618
227,-2.235,base,-2.2964406,-2.2964406
228,-4.84,base,-4.911034,-4.911034
229,-1.22,base,-2.3009026,-2.3009026
230,-3.28,base,-2.6559598,-2.6559598
231,-4.84,base,-5.8427367,-5.8427367
232,-1.525,base,-1.4352024,-1.4352024
233,-4.84,base,-3.458615,-3.458615
234,-3.03,base,-2.8345304,-2.8345304
235,-4.84,base,-3.387375,-3.387375
236,-0.89,base,-1.459929,-1.459929
237,-4.84,base,-3.0647786,-3.0647786
238,-0.04,base,-0.8063438,-0.8063438
239,-1.35,base,-1.1299284,-1.1299284
240,-0.52,base,-1.2811948,-1.2811948
241,-0.6,base,-1.3094794,-1.3094794
242,-0.23,base,-1.1234435,-1.1234435
243,-4.76,base,-3.0575087,-3.0575087
244,-3.48,base,-2.4980402,-2.4980402
245,-3.23,base,-2.586439,-2.586439
246,-1.2,base,-2.303644,-2.303644
247,-1.74,base,-2.4543493,-2.4543493
248,-0.75,base,-1.8419164,-1.8419164
249,-4.84,base,-5.047865,-5.047865
250,-4.565,base,-3.9558961,-3.9558961
251,-4.84,base,-4.9118176,-4.9118176
252,-0.01,base,-0.9450013,-0.9450013
253,-4.84,base,-4.456591,-4.456591
254,-4.76,base,-5.040225,-5.040225
255,-0.48,base,-1.613733,-1.613733
256,-1.72,base,-1.3716012,-1.3716012
257,-1.42,base,-1.6704051,-1.6704051
258,-4.84,base,-4.7450905,-4.7450905
259,-4.76,base,-3.2660806,-3.2660806
260,-0.9,base,-1.350565,-1.350565
261,-2.95,base,-2.4676576,-2.4676576
262,-0.84,base,-1.6893836,-1.6893836
263,-4.76,base,-3.5083435,-3.5083435
264,-0.84,base,-1.4934978,-1.4934978
265,0.07,base,-0.6031141,-0.6031141
266,-4.76,base,-3.1354537,-3.1354537
267,-4.76,base,-3.0602531,-3.0602531
268,-2.33,base,-2.6623473,-2.6623473
269,-1.33,base,-2.3266947,-2.3266947
270,-1.03,base,-1.4342183,-1.4342183
271,-0.16,base,-0.76853347,-0.76853347
272,-0.88,base,-1.6093607,-1.6093607
273,-0.55,base,-1.6086775,-1.6086775
274,-4.84,base,-6.9000216,-6.9000216
