,reference,experiment,tuned,raw
0,-0.71,base,-0.89499855,-0.89499855
1,-4.07,base,-3.9391007,-3.9391007
2,-4.76,base,-3.677399,-3.677399
3,-0.58,base,-0.66107565,-0.66107565
4,-4.84,base,-4.725175,-4.725175
5,-4.59,base,-4.5772505,-4.5772505
6,-2.85,base,-2.1324697,-2.1324697
7,-4.76,base,-4.6463294,-4.6463294
8,-4.6,base,-4.595564,-4.595564
9,-4.76,base,-4.714557,-4.714557
10,-1.11,base,-1.0991505,-1.0991505
11,-4.84,base,-4.728438,-4.728438
12,-3.76,base,-4.7186832,-4.7186832
13,-4.84,base,-4.7331448,-4.7331448
14,-0.68,base,-1.1733892,-1.1733892
15,-3.83,base,-4.7217193,-4.7217193
16,-2.31,base,-2.1895814,-2.1895814
17,-1.7,base,-1.8248063,-1.8248063
18,-4.84,base,-4.8039,-4.8039
19,-4.8,base,-4.6453834,-4.6453834
20,-0.63,base,-0.670276,-0.670276
21,-4.76,base,-4.632475,-4.632475
22,-4.76,base,-4.2515745,-4.2515745
23,-4.76,base,-4.668273,-4.668273
24,-2.55,base,-2.461374,-2.461374
25,-3.53,base,-3.110107,-3.110107
26,-2.18,base,-2.3485901,-2.3485901
27,-0.55,base,-0.36502177,-0.36502177
28,-4.84,base,-4.6528153,-4.6528153
29,-4.84,base,-4.626186,-4.626186
30,-4.84,base,-4.7231245,-4.7231245
31,-2.17,base,-2.327766,-2.327766
32,-4.84,base,-4.742741,-4.742741
33,-0.02,base,-0.1426116,-0.1426116
34,-4.76,base,-4.796837,-4.796837
35,-4.44,base,-4.7033978,-4.7033978
36,-4.76,base,-4.6569643,-4.6569643
37,-0.88,base,-3.146381,-3.146381
38,-4.84,base,-4.6284933,-4.6284933
39,-0.94,base,-0.9912165,-0.9912165
40,-0.05,base,0.00998544,0.00998544
41,-0.56,base,-0.06670726,-0.06670726
42,-3.07,base,-2.130994,-2.130994
43,-4.76,base,-4.7737846,-4.7737846
44,-4.76,base,-4.7235365,-4.7235365
45,-2.26,base,-2.8332732,-2.8332732
46,-2.12,base,-1.7948285,-1.7948285
47,-2.09,base,-1.7141542,-1.7141542
48,-4.76,base,-4.760678,-4.760678
49,-0.49,base,-0.5489386,-0.5489386
50,-1.92,base,-1.3566873,-1.3566873
51,-4.84,base,-4.5099964,-4.5099964
52,0.02,base,-0.0776482,-0.0776482
53,-4.84,base,-4.73539,-4.73539
54,-4.84,base,-4.7888737,-4.7888737
55,-4.55,base,-4.6597996,-4.6597996
56,-4.76,base,-4.8135233,-4.8135233
57,-2.68,base,-4.6089973,-4.6089973
58,-4.76,base,-4.7352324,-4.7352324
59,-1.72,base,-1.464136,-1.464136
60,-4.76,base,-4.8401394,-4.8401394
61,-0.82,base,-0.50820017,-0.50820017
62,-4.76,base,-4.7322545,-4.7322545
63,-2.19,base,-2.9535575,-2.9535575
64,-1.27,base,-1.298107,-1.298107
65,-4.84,base,-4.6299143,-4.6299143
66,-0.39761904,base,-0.3375495,-0.3375495
67,-2.98,base,-2.8706045,-2.8706045
68,-2.36,base,-2.3114932,-2.3114932
69,-3.475,base,-3.8658643,-3.8658643
