,reference,experiment,tuned,raw
0,-0.71,base,-1.0766933,-1.0766933
1,-4.07,base,-3.7830377,-3.7830377
2,-4.76,base,-3.6472745,-3.6472745
3,-0.58,base,-1.6517477,-1.6517477
4,-4.84,base,-4.6393814,-4.6393814
5,-4.59,base,-4.7231226,-4.7231226
6,-2.85,base,-2.08437,-2.08437
7,-4.76,base,-4.2741485,-4.2741485
8,-4.6,base,-4.8939476,-4.8939476
9,-4.76,base,-4.691941,-4.691941
10,-1.11,base,-1.1462572,-1.1462572
11,-4.84,base,-4.6295347,-4.6295347
12,-3.76,base,-4.7739162,-4.7739162
13,-4.84,base,-4.742976,-4.742976
14,-0.68,base,-1.2770631,-1.2770631
15,-3.83,base,-4.6351976,-4.6351976
16,-2.31,base,-2.3649888,-2.3649888
17,-1.7,base,-1.83118,-1.83118
18,-4.84,base,-4.6532087,-4.6532087
19,-4.8,base,-4.8754263,-4.8754263
20,-0.63,base,-1.5682328,-1.5682328
21,-4.76,base,-4.8431773,-4.8431773
22,-4.76,base,-3.445139,-3.445139
23,-4.76,base,-4.70991,-4.70991
24,-2.55,base,-3.2161064,-3.2161064
25,-3.53,base,-3.437134,-3.437134
26,-2.18,base,-1.8802586,-1.8802586
27,-0.55,base,-0.49161682,-0.49161682
28,-4.84,base,-4.696533,-4.696533
29,-4.84,base,-4.5640593,-4.5640593
30,-4.84,base,-4.724861,-4.724861
31,-2.17,base,-2.9044871,-2.9044871
32,-4.84,base,-4.6564136,-4.6564136
33,-0.02,base,-0.76328963,-0.76328963
34,-4.76,base,-4.658287,-4.658287
35,-4.44,base,-4.663131,-4.663131
36,-4.76,base,-4.4851427,-4.4851427
37,-0.88,base,-2.3369215,-2.3369215
38,-4.84,base,-4.634412,-4.634412
39,-0.94,base,-1.3458432,-1.3458432
40,-0.05,base,-0.11921306,-0.11921306
41,-0.56,base,-0.6835619,-0.6835619
42,-3.07,base,-2.8322735,-2.8322735
43,-4.76,base,-4.830955,-4.830955
44,-4.76,base,-4.756341,-4.756341
45,-2.26,base,-2.5978136,-2.5978136
46,-2.12,base,-2.3968034,-2.3968034
47,-2.09,base,-1.6039041,-1.6039041
48,-4.76,base,-4.6524296,-4.6524296
49,-0.49,base,-1.2951162,-1.2951162
50,-1.92,base,-1.9132686,-1.9132686
51,-4.84,base,-4.6990337,-4.6990337
52,0.02,base,-0.23131874,-0.23131874
53,-4.84,base,-4.6888924,-4.6888924
54,-4.84,base,-4.7156262,-4.7156262
55,-4.55,base,-4.7080183,-4.7080183
56,-4.76,base,-4.599476,-4.599476
57,-2.68,base,-3.928911,-3.928911
58,-4.76,base,-4.46571,-4.46571
59,-1.72,base,-1.1198542,-1.1198542
60,-4.76,base,-4.719821,-4.719821
61,-0.82,base,-0.7224487,-0.7224487
62,-4.76,base,-4.9054456,-4.9054456
63,-2.19,base,-2.9813943,-2.9813943
64,-1.27,base,-2.246259,-2.246259
65,-4.84,base,-4.6861258,-4.6861258
66,-0.39761904,base,-2.0720859,-2.0720859
67,-2.98,base,-2.4260476,-2.4260476
68,-2.36,base,-2.527604,-2.527604
69,-3.475,base,-4.731397,-4.731397
70,-4.76,base,-4.2812376,-4.2812376
71,-0.61,base,-1.5000356,-1.5000356
72,-0.13,base,-0.5691372,-0.5691372
73,-4.76,base,-4.7469306,-4.7469306
74,-4.84,base,-4.6073565,-4.6073565
75,-4.76,base,-4.5538454,-4.5538454
