,reference,experiment,tuned,raw
0,-0.71,base,-1.0332298,-0.78421897
1,-4.07,base,-3.9382749,-2.8139722
2,-4.76,base,-4.7539444,-3.2690966
3,-0.58,base,-0.69638276,-0.45188802
4,-4.84,base,-4.6768494,-3.2255464
5,-4.59,base,-4.703446,-3.2405565
6,-2.85,base,-2.7124224,-2.1268954
7,-4.76,base,-4.7472386,-3.2653036
8,-4.6,base,-4.707965,-3.2431085
9,-4.76,base,-4.6537313,-3.212511
10,-1.11,base,-1.1761798,-0.92425764
11,-4.84,base,-4.7646284,-3.2751417
12,-3.76,base,-4.6338615,-3.2013159
13,-4.84,base,-4.6890564,-3.2324338
14,-0.68,base,-1.4096534,-1.1512854
15,-3.83,base,-4.7073464,-3.242759
16,-2.31,base,-2.8718894,-2.2206194
17,-1.7,base,-1.9901254,-1.6586273
18,-4.84,base,-4.7555184,-3.269987
19,-4.8,base,-4.69329,-3.2348232
20,-0.63,base,-0.88176477,-0.63513744
21,-4.76,base,-4.7410502,-3.2618043
22,-4.76,base,-3.5465212,-2.598897
23,-4.76,base,-4.719337,-3.249532
24,-2.55,base,-2.8683817,-2.2185817
25,-3.53,base,-2.699561,-2.119233
26,-2.18,base,-2.5826783,-2.048796
27,-0.55,base,-0.36549816,-0.12340331
28,-4.84,base,-4.625369,-3.1965332
29,-4.84,base,-4.702883,-3.2402384
30,-4.84,base,-4.624868,-3.1962512
31,-2.17,base,-2.7793784,-2.166527
32,-4.84,base,-4.734663,-3.2581933
33,-0.02,base,-0.3416377,-0.09967548
34,-4.76,base,-4.805535,-3.298309
35,-4.44,base,-4.764347,-3.2749827
36,-4.76,base,-4.799464,-3.2948687
37,-0.88,base,-3.3403225,-2.485646
38,-4.84,base,-4.7658544,-3.2758355
39,-0.94,base,-1.272518,-1.0182114
40,-0.05,base,-0.14289056,0.09802514
41,-0.56,base,-0.2200208,0.021297157
42,-3.07,base,-2.034166,-1.6904075
43,-4.76,base,-4.7146664,-3.2468934
44,-4.76,base,-4.7874575,-3.2880666
45,-2.26,base,-2.315124,-1.8809605
46,-2.12,base,-1.7666217,-1.485014
47,-2.09,base,-2.059487,-1.708401
48,-4.76,base,-4.7185307,-3.2490764
49,-0.49,base,-0.71085525,-0.46621984
50,-1.92,base,-1.6029121,-1.3373083
51,-4.84,base,-4.668388,-3.220774
52,0.02,base,-0.23967597,0.0017440319
53,-4.84,base,-4.6882553,-3.2319815
54,-4.84,base,-4.7044244,-3.241109
55,-4.55,base,-4.6803303,-3.22751
56,-4.76,base,-4.683728,-3.229427
57,-2.68,base,-4.324664,-3.0280974
58,-4.76,base,-4.827798,-3.3109329
59,-1.72,base,-1.769866,-1.4877235
60,-4.76,base,-4.88181,-3.341603
61,-0.82,base,-0.57592267,-0.33246046
62,-4.76,base,-4.7398157,-3.2611063
63,-2.19,base,-2.351,-1.904099
64,-1.27,base,-1.5159105,-1.253798
65,-4.84,base,-4.6231604,-3.1952896
66,-0.39761904,base,-0.40589446,-0.16356736
67,-2.98,base,-2.2595403,-1.844651
68,-2.36,base,-2.4559503,-1.9705868
69,-3.475,base,-3.4137044,-2.5261283
70,-4.76,base,-4.4869757,-3.1188002
71,-0.61,base,-0.57165664,-0.32822692
72,-0.13,base,-0.29904145,-0.05730945
73,-4.76,base,-4.6632905,-3.2178996
74,-4.84,base,-4.6253653,-3.196531
75,-4.76,base,-4.6497426,-3.2102628
76,-1.07,base,-1.2034556,-0.9508949
77,-1.36,base,-1.5127163,-1.2507246
78,-4.84,base,-4.642152,-3.2059858
79,-1.48,base,-1.8936659,-1.5865564
80,-1.13,base,-1.4688191,-1.2084341
81,-4.76,base,-4.8962893,-3.3498356
82,-2.58,base,-2.5800164,-2.047174
83,-0.11,base,-0.15267994,0.088287234
84,-2.16,base,-2.196392,-1.8026552
85,-0.4,base,-0.49764347,-0.2547418
86,-1.3,base,-1.4089845,-1.1506383
87,-1.51,base,-1.3365902,-1.0804886
88,-4.84,base,-4.7767224,-3.2819874
89,-4.84,base,-4.62115,-3.1941578
90,-4.84,base,-4.8015566,-3.2960546
