,reference,experiment,tuned,raw
0,-0.71,base,-3.8982763,-3.8982763
1,-4.07,base,-3.0737336,-3.0737336
2,-4.76,base,-5.4944367,-5.4944367
3,-0.58,base,-2.455272,-2.455272
4,-4.84,base,-3.0670772,-3.0670772
5,-4.59,base,-2.803622,-2.803622
6,-2.85,base,-3.3827217,-3.3827217
7,-4.76,base,-3.7216556,-3.7216556
8,-4.6,base,-2.437027,-2.437027
9,-4.76,base,-3.1586354,-3.1586354
10,-1.11,base,-2.4883027,-2.4883027
11,-4.84,base,-5.1252446,-5.1252446
12,-3.76,base,-2.8575513,-2.8575513
13,-4.84,base,-4.9367146,-4.9367146
14,-0.68,base,-2.8660967,-2.8660967
15,-3.83,base,-5.193889,-5.193889
16,-2.31,base,-4.8361707,-4.8361707
17,-1.7,base,-3.5735538,-3.5735538
18,-4.84,base,-2.2893126,-2.2893126
19,-4.8,base,-2.688805,-2.688805
20,-0.63,base,-2.6196344,-2.6196344
21,-4.76,base,-4.9349694,-4.9349694
22,-4.76,base,-2.0823545,-2.0823545
23,-4.76,base,-4.336594,-4.336594
24,-2.55,base,-2.7188208,-2.7188208
25,-3.53,base,-3.083354,-3.083354
26,-2.18,base,-2.2679577,-2.2679577
27,-0.55,base,-1.9587604,-1.9587604
28,-4.84,base,-2.628252,-2.628252
29,-4.84,base,-4.7124104,-4.7124104
30,-4.84,base,-3.332753,-3.332753
31,-2.17,base,-2.989926,-2.989926
32,-4.84,base,-5.0697017,-5.0697017
33,-0.02,base,-1.7916813,-1.7916813
34,-4.76,base,-5.049681,-5.049681
35,-4.44,base,-4.306543,-4.306543
36,-4.76,base,-5.2839985,-5.2839985
37,-0.88,base,-1.9361929,-1.9361929
38,-4.84,base,-4.9864783,-4.9864783
39,-0.94,base,-2.1947708,-2.1947708
40,-0.05,base,-1.3458529,-1.3458529
41,-0.56,base,-1.507826,-1.507826
42,-3.07,base,-2.271135,-2.271135
43,-4.76,base,-5.341137,-5.341137
44,-4.76,base,-5.1958857,-5.1958857
45,-2.26,base,-2.9347396,-2.9347396
46,-2.12,base,-2.517082,-2.517082
47,-2.09,base,-3.2747524,-3.2747524
48,-4.76,base,-2.485484,-2.485484
49,-0.49,base,-2.3664148,-2.3664148
50,-1.92,base,-2.3394535,-2.3394535
51,-4.84,base,-4.8741336,-4.8741336
52,0.02,base,-2.160332,-2.160332
53,-4.84,base,-5.5145183,-5.5145183
54,-4.84,base,-5.2961917,-5.2961917
55,-4.55,base,-4.7683887,-4.7683887
56,-4.76,base,-3.095859,-3.095859
57,-2.68,base,-2.6812735,-2.6812735
58,-4.76,base,-3.0080283,-3.0080283
59,-1.72,base,-2.3852162,-2.3852162
