,reference,experiment,tuned,raw
0,-0.71,base,-2.7482784,-2.7482784
1,-4.07,base,-3.8646715,-3.8646715
2,-4.76,base,-4.8807836,-4.8807836
3,-0.58,base,-3.2960522,-3.2960522
4,-4.84,base,-4.3102026,-4.3102026
5,-4.59,base,-4.535931,-4.535931
6,-2.85,base,-5.2698383,-5.2698383
7,-4.76,base,-5.2072144,-5.2072144
8,-4.6,base,-4.861994,-4.861994
9,-4.76,base,-5.0583324,-5.0583324
10,-1.11,base,-2.2121627,-2.2121627
11,-4.84,base,-5.1399302,-5.1399302
12,-3.76,base,-4.7542276,-4.7542276
13,-4.84,base,-5.699928,-5.699928
14,-0.68,base,-2.520427,-2.520427
15,-3.83,base,-5.584535,-5.584535
16,-2.31,base,-3.8072433,-3.8072433
17,-1.7,base,-2.955207,-2.955207
18,-4.84,base,-4.7098217,-4.7098217
19,-4.8,base,-5.0312552,-5.0312552
20,-0.63,base,-2.7656133,-2.7656133
21,-4.76,base,-3.8649256,-3.8649256
22,-4.76,base,-3.0388176,-3.0388176
23,-4.76,base,-3.7554288,-3.7554288
24,-2.55,base,-5.024504,-5.024504
25,-3.53,base,-3.6978962,-3.6978962
26,-2.18,base,-3.166933,-3.166933
27,-0.55,base,-2.0149016,-2.0149016
28,-4.84,base,-4.0039825,-4.0039825
29,-4.84,base,-3.917238,-3.917238
30,-4.84,base,-4.989285,-4.989285
31,-2.17,base,-2.7493825,-2.7493825
32,-4.84,base,-5.1686473,-5.1686473
33,-0.02,base,-2.0804188,-2.0804188
34,-4.76,base,-6.0149026,-6.0149026
35,-4.44,base,-5.3182063,-5.3182063
36,-4.76,base,-5.449655,-5.449655
37,-0.88,base,-2.0093303,-2.0093303
38,-4.84,base,-5.4024835,-5.4024835
39,-0.94,base,-2.4673781,-2.4673781
40,-0.05,base,-1.3106253,-1.3106253
41,-0.56,base,-2.304672,-2.304672
42,-3.07,base,-2.5693533,-2.5693533
43,-4.76,base,-5.4894576,-5.4894576
44,-4.76,base,-5.675511,-5.675511
45,-2.26,base,-2.80137,-2.80137
46,-2.12,base,-4.263448,-4.263448
47,-2.09,base,-2.3495204,-2.3495204
48,-4.76,base,-5.130853,-5.130853
49,-0.49,base,-2.4114785,-2.4114785
50,-1.92,base,-2.7434614,-2.7434614
51,-4.84,base,-5.009294,-5.009294
52,0.02,base,-1.8666768,-1.8666768
53,-4.84,base,-5.526359,-5.526359
54,-4.84,base,-4.930571,-4.930571
55,-4.55,base,-2.175215,-2.175215
56,-4.76,base,-5.083547,-5.083547
57,-2.68,base,-3.4692209,-3.4692209
58,-4.76,base,-5.6016974,-5.6016974
59,-1.72,base,-3.9416618,-3.9416618
60,-4.76,base,-5.544377,-5.544377
61,-0.82,base,-2.3323088,-2.3323088
62,-4.76,base,-5.2160897,-5.2160897
63,-2.19,base,-3.2863133,-3.2863133
64,-1.27,base,-3.8456182,-3.8456182
65,-4.84,base,-4.9692197,-4.9692197
66,-0.39761904,base,-2.6831882,-2.6831882
67,-2.98,base,-2.9095337,-2.9095337
68,-2.36,base,-4.7867894,-4.7867894
69,-3.475,base,-5.3736463,-5.3736463
70,-4.76,base,-4.573752,-4.573752
71,-0.61,base,-2.6774368,-2.6774368
72,-0.13,base,-2.108402,-2.108402
73,-4.76,base,-3.4789083,-3.4789083
74,-4.84,base,-2.316765,-2.316765
75,-4.76,base,-5.825566,-5.825566
76,-1.07,base,-2.650168,-2.650168
77,-1.36,base,-2.7702405,-2.7702405
78,-4.84,base,-4.7958484,-4.7958484
79,-1.48,base,-2.6000273,-2.6000273
80,-1.13,base,-2.4139323,-2.4139323
81,-4.76,base,-6.271338,-6.271338
82,-2.58,base,-3.3374045,-3.3374045
83,-0.11,base,-2.1212552,-2.1212552
84,-2.16,base,-5.5310407,-5.5310407
85,-0.4,base,-2.6242735,-2.6242735
86,-1.3,base,-3.7920835,-3.7920835
87,-1.51,base,-2.545534,-2.545534
88,-4.84,base,-5.739331,-5.739331
89,-4.84,base,-5.8182807,-5.8182807
90,-4.84,base,-4.5915914,-4.5915914
91,-4.76,base,-3.2795475,-3.2795475
92,-3.7,base,-5.216444,-5.216444
93,-2.61,base,-4.579567,-4.579567
94,-4.84,base,-3.387924,-3.387924
95,-0.595,base,-1.6459594,-1.6459594
96,-1.97,base,-3.0842896,-3.0842896
97,-2.3,base,-2.9682698,-2.9682698
98,-2.1,base,-3.334441,-3.334441
99,-0.97,base,-3.275008,-3.275008
100,-4.11,base,-5.4450173,-5.4450173
101,-1.91,base,-2.4653628,-2.4653628
102,-2.46,base,-5.0316586,-5.0316586
103,-0.74,base,-3.158209,-3.158209
104,-4.84,base,-5.751814,-5.751814
105,-4.76,base,-3.5014002,-3.5014002
106,-4.84,base,-5.4053845,-5.4053845
107,-4.76,base,-6.4646306,-6.4646306
108,-3.67,base,-4.7145343,-4.7145343
109,-0.06,base,-1.8423867,-1.8423867
110,-2.3,base,-2.4273827,-2.4273827
111,-4.59,base,-5.294858,-5.294858
112,-0.07,base,-1.886642,-1.886642
113,-3.67,base,-3.7610533,-3.7610533
114,-4.82,base,-4.462352,-4.462352
115,-4.76,base,-5.2928143,-5.2928143
116,-0.01,base,-1.2022333,-1.2022333
117,-1.62,base,-5.13429,-5.13429
118,-1.34,base,-3.0506167,-3.0506167
119,-4.76,base,-5.316632,-5.316632
120,-4.76,base,-4.869006,-4.869006
121,-1.23,base,-2.6548493,-2.6548493
122,0.235,base,-1.1767721,-1.1767721
123,-0.69,base,-3.089401,-3.089401
124,-4.84,base,-3.3307364,-3.3307364
125,0.02,base,-2.6542633,-2.6542633
126,-4.84,base,-5.9044127,-5.9044127
127,-0.57,base,-2.2589095,-2.2589095
128,-2.85,base,-3.4789138,-3.4789138
129,-4.76,base,-5.342699,-5.342699
130,-0.36,base,-1.9041626,-1.9041626
131,-3.67,base,-4.9772763,-4.9772763
132,-4.76,base,-4.8078094,-4.8078094
133,-0.35,base,-2.3022208,-2.3022208
134,-0.68,base,-2.569313,-2.569313
135,-4.76,base,-5.0384116,-5.0384116
136,-4.76,base,-5.8578134,-5.8578134
137,-4.76,base,-5.4925914,-5.4925914
138,-0.52,base,-2.7958086,-2.7958086
139,-4.84,base,-6.908231,-6.908231
140,-4.78,base,-5.3436317,-5.3436317
141,-2.04,base,-2.72063,-2.72063
142,-4.84,base,-5.345844,-5.345844
143,-4.570833,base,-5.0752153,-5.0752153
144,-0.7,base,-2.3982508,-2.3982508
145,-4.84,base,-4.8148484,-4.8148484
146,-4.76,base,-4.7759805,-4.7759805
147,-4.47,base,-4.567152,-4.567152
148,-2.29,base,-5.35789,-5.35789
149,-0.11,base,-2.3511083,-2.3511083
150,-4.84,base,-6.0515537,-6.0515537
151,-0.67,base,-2.3743372,-2.3743372
152,-4.825,base,-2.5029032,-2.5029032
153,-4.84,base,-5.765328,-5.765328
154,-2.47,base,-5.2107854,-5.2107854
155,-0.345,base,-2.3502138,-2.3502138
156,-4.76,base,-4.277719,-4.277719
157,-0.67,base,-2.8175402,-2.8175402
158,-1.39,base,-3.8681877,-3.8681877
159,-2.58,base,-3.354616,-3.354616
160,-0.1,base,-1.8450499,-1.8450499
161,-4.5,base,-2.7791145,-2.7791145
162,-2.69,base,-4.6547694,-4.6547694
163,-4.84,base,-3.8128488,-3.8128488
164,-0.11,base,-2.867574,-2.867574
165,-2.32,base,-5.3028045,-5.3028045
166,-3.58,base,-4.29561,-4.29561
167,-4.76,base,-4.6282043,-4.6282043
168,-0.15,base,-1.9546659,-1.9546659
169,-4.76,base,-3.3940146,-3.3940146
170,-1.59,base,-2.8245318,-2.8245318
171,-0.99,base,-1.9316223,-1.9316223
172,-3.05,base,-4.5592537,-4.5592537
173,-4.76,base,-4.9904118,-4.9904118
174,-0.05,base,-2.3120944,-2.3120944
175,-1.62,base,-5.10149,-5.10149
176,-4.84,base,-5.1535892,-5.1535892
177,-4.76,base,-4.9092355,-4.9092355
178,-4.84,base,-5.0000315,-5.0000315
179,-4.84,base,-3.932198,-3.932198
180,-2.65,base,-2.5835102,-2.5835102
181,-1.07,base,-2.7079742,-2.7079742
182,-0.31,base,-2.3946326,-2.3946326
183,-3.74,base,-1.7644494,-1.7644494
184,-0.47,base,-2.5671315,-2.5671315
185,-4.76,base,-2.883701,-2.883701
186,-0.3,base,-1.8747592,-1.8747592
187,-4.84,base,-4.1425424,-4.1425424
188,-4.71,base,-2.4141114,-2.4141114
189,-4.84,base,-5.36416,-5.36416
190,-1.56,base,-4.778086,-4.778086
191,-3.24,base,-3.4467099,-3.4467099
192,-4.84,base,-6.024261,-6.024261
193,-2.97,base,-4.6589513,-4.6589513
194,0.17,base,-2.2624981,-2.2624981
195,-1.37,base,-2.5667586,-2.5667586
196,-0.64,base,-2.3995597,-2.3995597
197,-4.84,base,-4.190264,-4.190264
198,-2.54,base,-2.6007261,-2.6007261
199,-3.76,base,-5.5043902,-5.5043902
200,-4.84,base,-5.373079,-5.373079
201,-4.84,base,-2.7645192,-2.7645192
202,-0.2,base,-1.6627002,-1.6627002
203,-2.68,base,-3.7773597,-3.7773597
204,-0.265,base,-2.3004234,-2.3004234
205,-2.01,base,-1.8232157,-1.8232157
206,-0.67,base,-2.3736422,-2.3736422
207,-0.49,base,-3.1534317,-3.1534317
208,-4.84,base,-4.1410027,-4.1410027
209,-0.12744445,base,-2.5270677,-2.5270677
210,-4.76,base,-5.1433473,-5.1433473
211,-0.33,base,-2.086642,-2.086642
212,-3.8,base,-5.510271,-5.510271
213,-1.22,base,-4.1928616,-4.1928616
214,-4.76,base,-4.7280498,-4.7280498
215,-0.039722223,base,-2.090266,-2.090266
216,-4.84,base,-5.3957524,-5.3957524
217,-2.1,base,-2.944009,-2.944009
218,-2.82,base,-5.361385,-5.361385
219,-0.75,base,-2.8242524,-2.8242524
220,-4.84,base,-2.779064,-2.779064
221,-0.010833333,base,-2.274823,-2.274823
222,-4.76,base,-4.7259116,-4.7259116
223,-4.84,base,-5.6185703,-5.6185703
224,-2.36,base,-2.9945538,-2.9945538
225,-4.84,base,-4.901442,-4.901442
226,0.0325,base,-2.099388,-2.099388
227,-2.235,base,-4.1832075,-4.1832075
228,-4.84,base,-5.1710773,-5.1710773
229,-1.22,base,-2.461192,-2.461192
230,-3.28,base,-3.772395,-3.772395
231,-4.84,base,-5.063623,-5.063623
232,-1.525,base,-4.140773,-4.140773
233,-4.84,base,-3.513399,-3.513399
234,-3.03,base,-5.4645505,-5.4645505
235,-4.84,base,-3.7107487,-3.7107487
236,-0.89,base,-2.38393,-2.38393
237,-4.84,base,-2.6865427,-2.6865427
238,-0.04,base,-1.8439338,-1.8439338
239,-1.35,base,-2.7841704,-2.7841704
240,-0.52,base,-1.9856377,-1.9856377
241,-0.6,base,-3.075302,-3.075302
242,-0.23,base,-2.3034132,-2.3034132
243,-4.76,base,-2.696443,-2.696443
244,-3.48,base,-2.9133961,-2.9133961
245,-3.23,base,-5.132178,-5.132178
246,-1.2,base,-2.4471316,-2.4471316
247,-1.74,base,-4.33148,-4.33148
248,-0.75,base,-3.5195367,-3.5195367
249,-4.84,base,-5.193623,-5.193623
250,-4.565,base,-4.8278174,-4.8278174
251,-4.84,base,-5.807197,-5.807197
252,-0.01,base,-1.9915185,-1.9915185
253,-4.84,base,-2.8240895,-2.8240895
254,-4.76,base,-4.9333906,-4.9333906
255,-0.48,base,-2.5876908,-2.5876908
256,-1.72,base,-5.2142644,-5.2142644
257,-1.42,base,-2.8318932,-2.8318932
258,-4.84,base,-5.142966,-5.142966
259,-4.76,base,-5.0663247,-5.0663247
260,-0.9,base,-2.0997071,-2.0997071
261,-2.95,base,-2.6230915,-2.6230915
262,-0.84,base,-2.5699384,-2.5699384
263,-4.76,base,-3.930563,-3.930563
264,-0.84,base,-3.026932,-3.026932
265,0.07,base,-1.8788991,-1.8788991
266,-4.76,base,-5.3537097,-5.3537097
267,-4.76,base,-5.1514325,-5.1514325
268,-2.33,base,-3.4335313,-3.4335313
269,-1.33,base,-3.9747505,-3.9747505
270,-1.03,base,-2.7015345,-2.7015345
271,-0.16,base,-2.2931936,-2.2931936
272,-0.88,base,-2.21641,-2.21641
273,-0.55,base,-1.8444254,-1.8444254
274,-4.84,base,-5.552715,-5.552715
275,-4.76,base,-5.0423365,-5.0423365
276,0.05,base,-2.1681166,-2.1681166
277,-4.84,base,-5.4603405,-5.4603405
278,-0.58,base,-2.5536482,-2.5536482
279,-0.63,base,-2.5220125,-2.5220125
280,-2.1,base,-2.6499622,-2.6499622
281,-4.84,base,-5.13926,-5.13926
282,-4.84,base,-4.8661947,-4.8661947
283,-0.72,base,-2.9969223,-2.9969223
284,-1.51,base,-4.3138833,-4.3138833
285,-4.75,base,-3.560424,-3.560424
286,-2.36,base,-3.481555,-3.481555
287,0.03,base,-1.776037,-1.776037
288,-0.46,base,-2.7561138,-2.7561138
289,-1.77,base,-3.2924302,-3.2924302
