,reference,experiment,tuned,raw
0,-0.71,base,-1.0385351,-1.0385351
1,-4.07,base,-1.0603384,-1.0603384
2,-4.76,base,-0.97320825,-0.97320825
3,-0.58,base,-0.99121034,-0.99121034
4,-4.84,base,-1.0256469,-1.0256469
5,-4.59,base,-1.0933081,-1.0933081
6,-2.85,base,-0.9462016,-0.9462016
7,-4.76,base,-0.958715,-0.958715
8,-4.6,base,-0.99667203,-0.99667203
9,-4.76,base,-1.0531075,-1.0531075
10,-1.11,base,-0.9708221,-0.9708221
11,-4.84,base,-1.028961,-1.028961
12,-3.76,base,-1.0122037,-1.0122037
13,-4.84,base,-1.0603225,-1.0603225
14,-0.68,base,-0.9664171,-0.9664171
15,-3.83,base,-1.1482592,-1.1482592
16,-2.31,base,-0.91671854,-0.91671854
17,-1.7,base,-1.0412621,-1.0412621
18,-4.84,base,-0.9203158,-0.9203158
19,-4.8,base,-1.0409212,-1.0409212
20,-0.63,base,-1.0133933,-1.0133933
21,-4.76,base,-1.0454506,-1.0454506
22,-4.76,base,-1.0522947,-1.0522947
23,-4.76,base,-0.99755394,-0.99755394
24,-2.55,base,-1.0109173,-1.0109173
25,-3.53,base,-0.9922511,-0.9922511
26,-2.18,base,-0.95430404,-0.95430404
27,-0.55,base,-0.89013374,-0.89013374
28,-4.84,base,-0.97297,-0.97297
29,-4.84,base,-0.99867564,-0.99867564
30,-4.84,base,-0.960303,-0.960303
31,-2.17,base,-0.9673383,-0.9673383
32,-4.84,base,-1.1023823,-1.1023823
33,-0.02,base,-0.9251523,-0.9251523
34,-4.76,base,-1.1384416,-1.1384416
35,-4.44,base,-1.1210151,-1.1210151
36,-4.76,base,-1.1554654,-1.1554654
37,-0.88,base,-0.9141065,-0.9141065
38,-4.84,base,-1.0485773,-1.0485773
39,-0.94,base,-0.9429816,-0.9429816
40,-0.05,base,-0.85737157,-0.85737157
41,-0.56,base,-0.99739677,-0.99739677
42,-3.07,base,-1.0,-1.0
43,-4.76,base,-1.1587243,-1.1587243
44,-4.76,base,-1.0894833,-1.0894833
45,-2.26,base,-0.9526365,-0.9526365
46,-2.12,base,-1.0522417,-1.0522417
47,-2.09,base,-0.97259194,-0.97259194
48,-4.76,base,-0.9677483,-0.9677483
49,-0.49,base,-0.9885924,-0.9885924
50,-1.92,base,-0.9351081,-0.9351081
51,-4.84,base,-1.0802262,-1.0802262
52,0.02,base,-0.9928598,-0.9928598
53,-4.84,base,-1.012049,-1.012049
54,-4.84,base,-1.0624602,-1.0624602
55,-4.55,base,-1.0256232,-1.0256232
56,-4.76,base,-0.99305046,-0.99305046
57,-2.68,base,-1.0145123,-1.0145123
58,-4.76,base,-1.0641546,-1.0641546
59,-1.72,base,-1.0003127,-1.0003127
60,-4.76,base,-1.0256395,-1.0256395
61,-0.82,base,-0.9969217,-0.9969217
