,reference,experiment,tuned,raw
0,-0.71,base,-3.0061743,-3.0061743
1,-4.07,base,-5.0217323,-5.0217323
2,-4.76,base,-5.5319147,-5.5319147
3,-0.58,base,-3.1190927,-3.1190927
4,-4.84,base,-5.6151934,-5.6151934
5,-4.59,base,-4.7035456,-4.7035456
6,-2.85,base,-2.7889128,-2.7889128
7,-4.76,base,-4.7187595,-4.7187595
8,-4.6,base,-3.0374777,-3.0374777
9,-4.76,base,-4.966134,-4.966134
10,-1.11,base,-3.0910015,-3.0910015
11,-4.84,base,-4.6933336,-4.6933336
12,-3.76,base,-2.991132,-2.991132
13,-4.84,base,-4.1836786,-4.1836786
14,-0.68,base,-3.0977328,-3.0977328
15,-3.83,base,-4.426291,-4.426291
16,-2.31,base,-3.8518436,-3.8518436
17,-1.7,base,-3.0338347,-3.0338347
18,-4.84,base,-5.1382565,-5.1382565
19,-4.8,base,-4.599427,-4.599427
20,-0.63,base,-2.805973,-2.805973
21,-4.76,base,-3.5263698,-3.5263698
22,-4.76,base,-2.1227257,-2.1227257
23,-4.76,base,-4.046582,-4.046582
24,-2.55,base,-5.143461,-5.143461
25,-3.53,base,-3.7736223,-3.7736223
26,-2.18,base,-3.0029304,-3.0029304
27,-0.55,base,-2.3749168,-2.3749168
28,-4.84,base,-4.372315,-4.372315
29,-4.84,base,-4.1266694,-4.1266694
30,-4.84,base,-2.8506792,-2.8506792
31,-2.17,base,-3.0783799,-3.0783799
32,-4.84,base,-4.679041,-4.679041
33,-0.02,base,-2.1822388,-2.1822388
34,-4.76,base,-4.489517,-4.489517
35,-4.44,base,-5.4916925,-5.4916925
36,-4.76,base,-4.7117977,-4.7117977
37,-0.88,base,-2.6227558,-2.6227558
38,-4.84,base,-4.8553505,-4.8553505
39,-0.94,base,-2.9948385,-2.9948385
40,-0.05,base,-1.6321498,-1.6321498
41,-0.56,base,-2.206748,-2.206748
42,-3.07,base,-4.62248,-4.62248
43,-4.76,base,-4.005805,-4.005805
44,-4.76,base,-4.2439365,-4.2439365
45,-2.26,base,-2.859856,-2.859856
46,-2.12,base,-3.5678797,-3.5678797
47,-2.09,base,-3.2730973,-3.2730973
48,-4.76,base,-4.6982193,-4.6982193
49,-0.49,base,-2.5158243,-2.5158243
50,-1.92,base,-2.488432,-2.488432
51,-4.84,base,-5.374789,-5.374789
52,0.02,base,-2.103861,-2.103861
53,-4.84,base,-4.692931,-4.692931
54,-4.84,base,-4.323127,-4.323127
55,-4.55,base,-5.0377564,-5.0377564
56,-4.76,base,-3.0011103,-3.0011103
57,-2.68,base,-4.4212294,-4.4212294
58,-4.76,base,-5.078165,-5.078165
59,-1.72,base,-2.546057,-2.546057
60,-4.76,base,-4.7841988,-4.7841988
61,-0.82,base,-2.5773206,-2.5773206
62,-4.76,base,-4.618422,-4.618422
63,-2.19,base,-3.4884326,-3.4884326
64,-1.27,base,-2.4826527,-2.4826527
65,-4.84,base,-3.5900853,-3.5900853
66,-0.39761904,base,-2.3986208,-2.3986208
67,-2.98,base,-3.165157,-3.165157
68,-2.36,base,-2.7833245,-2.7833245
69,-3.475,base,-5.002002,-5.002002
70,-4.76,base,-3.7595375,-3.7595375
71,-0.61,base,-3.005242,-3.005242
72,-0.13,base,-2.1844318,-2.1844318
73,-4.76,base,-4.203088,-4.203088
74,-4.84,base,-2.890466,-2.890466
75,-4.76,base,-4.7120724,-4.7120724
76,-1.07,base,-2.6345313,-2.6345313
77,-1.36,base,-2.590767,-2.590767
78,-4.84,base,-5.0764213,-5.0764213
79,-1.48,base,-2.5260303,-2.5260303
80,-1.13,base,-2.5324557,-2.5324557
81,-4.76,base,-4.773263,-4.773263
82,-2.58,base,-4.708218,-4.708218
83,-0.11,base,-2.0372267,-2.0372267
84,-2.16,base,-2.9684432,-2.9684432
85,-0.4,base,-2.3417525,-2.3417525
86,-1.3,base,-3.1928828,-3.1928828
87,-1.51,base,-2.8482974,-2.8482974
88,-4.84,base,-4.966876,-4.966876
89,-4.84,base,-4.721881,-4.721881
90,-4.84,base,-5.019156,-5.019156
91,-4.76,base,-5.283633,-5.283633
92,-3.7,base,-5.1158066,-5.1158066
93,-2.61,base,-4.551526,-4.551526
94,-4.84,base,-3.592152,-3.592152
95,-0.595,base,-2.2744303,-2.2744303
96,-1.97,base,-2.9233162,-2.9233162
97,-2.3,base,-3.1758792,-3.1758792
98,-2.1,base,-3.9835398,-3.9835398
99,-0.97,base,-2.0037937,-2.0037937
100,-4.11,base,-3.7333355,-3.7333355
101,-1.91,base,-3.2716568,-3.2716568
102,-2.46,base,-3.5758102,-3.5758102
103,-0.74,base,-2.3657804,-2.3657804
104,-4.84,base,-5.076684,-5.076684
105,-4.76,base,-3.9840965,-3.9840965
106,-4.84,base,-4.8957214,-4.8957214
107,-4.76,base,-5.0453978,-5.0453978
108,-3.67,base,-5.0360174,-5.0360174
109,-0.06,base,-2.016971,-2.016971
110,-2.3,base,-2.3179753,-2.3179753
111,-4.59,base,-4.9992127,-4.9992127
112,-0.07,base,-2.295056,-2.295056
113,-3.67,base,-3.4784682,-3.4784682
114,-4.82,base,-5.1163883,-5.1163883
115,-4.76,base,-5.39074,-5.39074
116,-0.01,base,-1.5510584,-1.5510584
117,-1.62,base,-2.760381,-2.760381
118,-1.34,base,-2.3368535,-2.3368535
119,-4.76,base,-5.282238,-5.282238
120,-4.76,base,-4.904308,-4.904308
121,-1.23,base,-3.6525538,-3.6525538
122,0.235,base,-1.1530036,-1.1530036
123,-0.69,base,-2.4204586,-2.4204586
124,-4.84,base,-4.5604916,-4.5604916
125,0.02,base,-1.8162097,-1.8162097
126,-4.84,base,-4.1420956,-4.1420956
127,-0.57,base,-2.403577,-2.403577
128,-2.85,base,-2.9204278,-2.9204278
129,-4.76,base,-2.945038,-2.945038
130,-0.36,base,-2.8307185,-2.8307185
131,-3.67,base,-5.1970162,-5.1970162
132,-4.76,base,-4.2168922,-4.2168922
133,-0.35,base,-2.0430415,-2.0430415
134,-0.68,base,-2.5582108,-2.5582108
135,-4.76,base,-2.608063,-2.608063
136,-4.76,base,-4.809762,-4.809762
137,-4.76,base,-5.209891,-5.209891
138,-0.52,base,-2.6308582,-2.6308582
139,-4.84,base,-3.5427687,-3.5427687
140,-4.78,base,-3.5244644,-3.5244644
141,-2.04,base,-1.9991583,-1.9991583
142,-4.84,base,-4.734007,-4.734007
