,reference,experiment,tuned,raw
0,-0.71,base,-5.300948,-5.300948
1,-4.07,base,-4.6509266,-4.6509266
2,-4.76,base,-5.2626867,-5.2626867
3,-0.58,base,-3.4785142,-3.4785142
4,-4.84,base,-4.1660304,-4.1660304
5,-4.59,base,-5.297818,-5.297818
6,-2.85,base,-5.428168,-5.428168
7,-4.76,base,-5.226374,-5.226374
8,-4.6,base,-5.317868,-5.317868
9,-4.76,base,-5.4119062,-5.4119062
10,-1.11,base,-2.3101008,-2.3101008
11,-4.84,base,-4.154176,-4.154176
12,-3.76,base,-4.9000626,-4.9000626
13,-4.84,base,-5.381243,-5.381243
14,-0.68,base,-2.356104,-2.356104
15,-3.83,base,-5.4009337,-5.4009337
16,-2.31,base,-5.4138346,-5.4138346
17,-1.7,base,-2.1813076,-2.1813076
18,-4.84,base,-5.292712,-5.292712
19,-4.8,base,-5.2399163,-5.2399163
20,-0.63,base,-3.0920792,-3.0920792
21,-4.76,base,-4.804225,-4.804225
22,-4.76,base,-4.4905543,-4.4905543
23,-4.76,base,-4.45423,-4.45423
24,-2.55,base,-5.2580214,-5.2580214
25,-3.53,base,-5.2176375,-5.2176375
26,-2.18,base,-2.9821334,-2.9821334
27,-0.55,base,-1.9313141,-1.9313141
28,-4.84,base,-4.508945,-4.508945
29,-4.84,base,-4.549554,-4.549554
30,-4.84,base,-2.1439085,-2.1439085
31,-2.17,base,-3.4280825,-3.4280825
32,-4.84,base,-5.341032,-5.341032
33,-0.02,base,-2.239614,-2.239614
34,-4.76,base,-5.457446,-5.457446
35,-4.44,base,-4.362213,-4.362213
36,-4.76,base,-5.239311,-5.239311
37,-0.88,base,-2.2471645,-2.2471645
38,-4.84,base,-5.389875,-5.389875
39,-0.94,base,-4.216202,-4.216202
40,-0.05,base,-2.0846472,-2.0846472
41,-0.56,base,-2.0670638,-2.0670638
42,-3.07,base,-5.266757,-5.266757
43,-4.76,base,-5.2197695,-5.2197695
44,-4.76,base,-5.3168335,-5.3168335
45,-2.26,base,-1.9221331,-1.9221331
46,-2.12,base,-4.6733747,-4.6733747
47,-2.09,base,-2.2236989,-2.2236989
48,-4.76,base,-5.2454433,-5.2454433
49,-0.49,base,-3.727377,-3.727377
50,-1.92,base,-2.5622113,-2.5622113
51,-4.84,base,-5.3477535,-5.3477535
52,0.02,base,-1.9221331,-1.9221331
53,-4.84,base,-5.3584814,-5.3584814
54,-4.84,base,-4.3188357,-4.3188357
55,-4.55,base,-5.2357836,-5.2357836
56,-4.76,base,-5.416193,-5.416193
57,-2.68,base,-2.9404688,-2.9404688
58,-4.76,base,-5.2564917,-5.2564917
59,-1.72,base,-3.3514214,-3.3514214
60,-4.76,base,-5.262155,-5.262155
61,-0.82,base,-2.258768,-2.258768
62,-4.76,base,-5.071288,-5.071288
63,-2.19,base,-4.3662434,-4.3662434
64,-1.27,base,-3.8692331,-3.8692331
65,-4.84,base,-5.354018,-5.354018
66,-0.39761904,base,-2.6134524,-2.6134524
67,-2.98,base,-4.070704,-4.070704
68,-2.36,base,-3.5116694,-3.5116694
69,-3.475,base,-3.734817,-3.734817
70,-4.76,base,-5.2157097,-5.2157097
71,-0.61,base,-2.1638138,-2.1638138
72,-0.13,base,-2.320031,-2.320031
73,-4.76,base,-4.4501996,-4.4501996
74,-4.84,base,-3.5300741,-3.5300741
75,-4.76,base,-5.5478926,-5.5478926
76,-1.07,base,-3.307172,-3.307172
77,-1.36,base,-3.4164877,-3.4164877
78,-4.84,base,-5.3260937,-5.3260937
79,-1.48,base,-2.3284025,-2.3284025
80,-1.13,base,-2.2100863,-2.2100863
81,-4.76,base,-5.5901437,-5.5901437
82,-2.58,base,-5.2252045,-5.2252045
83,-0.11,base,-1.9611416,-1.9611416
84,-2.16,base,-5.3042717,-5.3042717
85,-0.4,base,-2.5351086,-2.5351086
86,-1.3,base,-3.6542697,-3.6542697
87,-1.51,base,-2.1110337,-2.1110337
88,-4.84,base,-5.46782,-5.46782
89,-4.84,base,-5.3351965,-5.3351965
90,-4.84,base,-5.3157997,-5.3157997
91,-4.76,base,-4.4719033,-4.4719033
92,-3.7,base,-5.221071,-5.221071
93,-2.61,base,-5.2424107,-5.2424107
94,-4.84,base,-4.300418,-4.300418
95,-0.595,base,-2.2236063,-2.2236063
96,-1.97,base,-2.812471,-2.812471
97,-2.3,base,-2.181354,-2.181354
98,-2.1,base,-2.1549406,-2.1549406
99,-0.97,base,-2.77071,-2.77071
100,-4.11,base,-5.37342,-5.37342
101,-1.91,base,-4.104002,-4.104002
102,-2.46,base,-5.2160196,-5.2160196
103,-0.74,base,-2.5975611,-2.5975611
104,-4.84,base,-5.5148683,-5.5148683
105,-4.76,base,-5.122466,-5.122466
106,-4.84,base,-3.3366704,-3.3366704
107,-4.76,base,-5.7863407,-5.7863407
108,-3.67,base,-5.260625,-5.260625
109,-0.06,base,-2.123791,-2.123791
110,-2.3,base,-2.081469,-2.081469
111,-4.59,base,-5.5219507,-5.5219507
112,-0.07,base,-1.9221331,-1.9221331
113,-3.67,base,-2.3756752,-2.3756752
114,-4.82,base,-5.1121025,-5.1121025
115,-4.76,base,-3.1505008,-3.1505008
116,-0.01,base,-1.9221331,-1.9221331
117,-1.62,base,-2.7517905,-2.7517905
118,-1.34,base,-2.1158433,-2.1158433
119,-4.76,base,-5.584386,-5.584386
120,-4.76,base,-5.2175727,-5.2175727
121,-1.23,base,-3.1941357,-3.1941357
122,0.235,base,-2.0246325,-2.0246325
123,-0.69,base,-2.086153,-2.086153
124,-4.84,base,-5.237782,-5.237782
125,0.02,base,-2.7124634,-2.7124634
126,-4.84,base,-5.4055357,-5.4055357
127,-0.57,base,-2.158165,-2.158165
128,-2.85,base,-3.7236066,-3.7236066
129,-4.76,base,-4.1476126,-4.1476126
130,-0.36,base,-2.1197343,-2.1197343
131,-3.67,base,-5.3857155,-5.3857155
132,-4.76,base,-5.468705,-5.468705
133,-0.35,base,-2.3268867,-2.3268867
134,-0.68,base,-2.3830507,-2.3830507
135,-4.76,base,-4.5051746,-4.5051746
136,-4.76,base,-5.65304,-5.65304
137,-4.76,base,-4.6476464,-4.6476464
138,-0.52,base,-2.8581316,-2.8581316
139,-4.84,base,-5.8557205,-5.8557205
140,-4.78,base,-3.3587327,-3.3587327
141,-2.04,base,-3.493763,-3.493763
142,-4.84,base,-5.634856,-5.634856
143,-4.570833,base,-3.7236066,-3.7236066
144,-0.7,base,-3.5012033,-3.5012033
145,-4.84,base,-3.6034086,-3.6034086
146,-4.76,base,-5.231029,-5.231029
147,-4.47,base,-5.209663,-5.209663
148,-2.29,base,-4.840549,-4.840549
149,-0.11,base,-2.1646264,-2.1646264
150,-4.84,base,-5.9767346,-5.9767346
151,-0.67,base,-2.6479478,-2.6479478
152,-4.825,base,-2.161217,-2.161217
153,-4.84,base,-5.556878,-5.556878
154,-2.47,base,-3.701416,-3.701416
155,-0.345,base,-2.157412,-2.157412
156,-4.76,base,-5.3863125,-5.3863125
157,-0.67,base,-2.2067695,-2.2067695
158,-1.39,base,-3.0700047,-3.0700047
159,-2.58,base,-4.563917,-4.563917
160,-0.1,base,-1.9221331,-1.9221331
161,-4.5,base,-5.195342,-5.195342
162,-2.69,base,-5.5446143,-5.5446143
163,-4.84,base,-5.2875447,-5.2875447
164,-0.11,base,-4.0959206,-4.0959206
165,-2.32,base,-5.7991996,-5.7991996
166,-3.58,base,-5.379775,-5.379775
167,-4.76,base,-5.0601807,-5.0601807
168,-0.15,base,-2.164454,-2.164454
169,-4.76,base,-5.252194,-5.252194
170,-1.59,base,-3.1356487,-3.1356487
171,-0.99,base,-2.2076285,-2.2076285
172,-3.05,base,-4.231082,-4.231082
173,-4.76,base,-4.362213,-4.362213
174,-0.05,base,-2.5411234,-2.5411234
175,-1.62,base,-4.5959573,-4.5959573
176,-4.84,base,-3.614175,-3.614175
177,-4.76,base,-5.3591557,-5.3591557
178,-4.84,base,-5.363831,-5.363831
179,-4.84,base,-3.0300522,-3.0300522
180,-2.65,base,-1.9221331,-1.9221331
181,-1.07,base,-2.1764584,-2.1764584
182,-0.31,base,-2.3141713,-2.3141713
183,-3.74,base,-2.1222057,-2.1222057
184,-0.47,base,-3.4350085,-3.4350085
185,-4.76,base,-2.3235874,-2.3235874
186,-0.3,base,-2.1782427,-2.1782427
187,-4.84,base,-5.3655825,-5.3655825
188,-4.71,base,-5.245522,-5.245522
189,-4.84,base,-3.6504989,-3.6504989
190,-1.56,base,-3.307172,-3.307172
191,-3.24,base,-3.4679184,-3.4679184
192,-4.84,base,-5.5466895,-5.5466895
193,-2.97,base,-5.3358016,-5.3358016
194,0.17,base,-2.1014214,-2.1014214
