,reference,experiment,tuned,raw
0,-0.71,base,-3.9948077,-3.9948077
1,-4.07,base,-2.0392926,-2.0392926
2,-4.76,base,-6.377813,-6.377813
3,-0.58,base,-2.4909148,-2.4909148
4,-4.84,base,-5.4186115,-5.4186115
5,-4.59,base,-2.117423,-2.117423
6,-2.85,base,-1.1372905,-1.1372905
7,-4.76,base,-4.9003334,-4.9003334
8,-4.6,base,-4.6463375,-4.6463375
9,-4.76,base,-2.8087015,-2.8087015
10,-1.11,base,-2.5333767,-2.5333767
11,-4.84,base,-5.789762,-5.789762
12,-3.76,base,-2.313961,-2.313961
13,-4.84,base,-5.0155168,-5.0155168
14,-0.68,base,-1.9573449,-1.9573449
15,-3.83,base,-5.902432,-5.902432
16,-2.31,base,-1.72859,-1.72859
17,-1.7,base,-2.5101228,-2.5101228
18,-4.84,base,-2.687932,-2.687932
19,-4.8,base,-5.554137,-5.554137
20,-0.63,base,-2.4275737,-2.4275737
21,-4.76,base,-5.3775578,-5.3775578
22,-4.76,base,-0.8505452,-0.8505452
23,-4.76,base,-4.4673996,-4.4673996
24,-2.55,base,-2.6895971,-2.6895971
25,-3.53,base,-2.9685512,-2.9685512
26,-2.18,base,-2.031496,-2.031496
27,-0.55,base,-1.3322831,-1.3322831
28,-4.84,base,-1.8658673,-1.8658673
29,-4.84,base,-2.7610044,-2.7610044
30,-4.84,base,-2.2854323,-2.2854323
31,-2.17,base,-4.037933,-4.037933
32,-4.84,base,-5.832593,-5.832593
33,-0.02,base,-1.4778805,-1.4778805
34,-4.76,base,-7.6624813,-7.6624813
35,-4.44,base,-5.355822,-5.355822
36,-4.76,base,-3.4032748,-3.4032748
37,-0.88,base,-1.2679484,-1.2679484
38,-4.84,base,-6.246906,-6.246906
39,-0.94,base,-2.2978349,-2.2978349
40,-0.05,base,-1.093091,-1.093091
41,-0.56,base,-1.7416513,-1.7416513
42,-3.07,base,-3.153089,-3.153089
43,-4.76,base,-5.841355,-5.841355
44,-4.76,base,-5.8746257,-5.8746257
45,-2.26,base,-2.5810742,-2.5810742
46,-2.12,base,-2.2654076,-2.2654076
47,-2.09,base,-2.6080248,-2.6080248
48,-4.76,base,-2.6034703,-2.6034703
49,-0.49,base,-2.313961,-2.313961
50,-1.92,base,-1.7455491,-1.7455491
51,-4.84,base,-5.4576755,-5.4576755
52,0.02,base,-1.5095223,-1.5095223
53,-4.84,base,-5.3915215,-5.3915215
54,-4.84,base,-5.663422,-5.663422
55,-4.55,base,-5.091912,-5.091912
56,-4.76,base,-4.923961,-4.923961
57,-2.68,base,-2.8155718,-2.8155718
58,-4.76,base,-4.1306067,-4.1306067
59,-1.72,base,-2.1085424,-2.1085424
60,-4.76,base,-5.763395,-5.763395
61,-0.82,base,-1.3762134,-1.3762134
62,-4.76,base,-5.2559958,-5.2559958
63,-2.19,base,-2.4660022,-2.4660022
64,-1.27,base,-4.5137377,-4.5137377
65,-4.84,base,-5.000881,-5.000881
66,-0.39761904,base,-2.0763187,-2.0763187
67,-2.98,base,-2.7106414,-2.7106414
68,-2.36,base,-2.6796036,-2.6796036
69,-3.475,base,-4.325241,-4.325241
70,-4.76,base,-3.0074897,-3.0074897
71,-0.61,base,-1.4480206,-1.4480206
72,-0.13,base,-1.7958668,-1.7958668
73,-4.76,base,-2.765209,-2.765209
74,-4.84,base,-2.6557226,-2.6557226
75,-4.76,base,-5.656374,-5.656374
76,-1.07,base,-2.0318837,-2.0318837
77,-1.36,base,-2.0702074,-2.0702074
78,-4.84,base,-5.6438117,-5.6438117
79,-1.48,base,-1.3233764,-1.3233764
80,-1.13,base,-2.734241,-2.734241
81,-4.76,base,-6.316459,-6.316459
82,-2.58,base,-2.1848626,-2.1848626
83,-0.11,base,-1.368471,-1.368471
84,-2.16,base,-2.1609817,-2.1609817
85,-0.4,base,-1.067514,-1.067514
86,-1.3,base,-2.2822957,-2.2822957
